species	Fusarium_flagelliforme	Fusarium_fujikuroi	Fusarium_graminearum	Fusarium_mangiferae	Fusarium_musae	Fusarium_oxysporum	Fusarium_poae	Fusarium_sp.	Fusarium_subglutinans	Fusarium_tjaetaba	Fusarium_vanettenii	Fusarium_verticillioides	NI_2020	NI_2021	Inoc_2020	Inoc_2021	NI	Inoc	FER	FER_2020	FER_2021	Fusarium	Fusarium_spp
B103	0	0	0	0	0	0	0	0	0	0	0	0	5.828334854	3.33753406	7.144762186	4.805392555	3.945826452	6.514578697	5.236595712	6.384816653	4.16867461	3.435	0
B104	0	0	0	0	0	0	0	0	0	0	0	0	4.339084229	7.708106267	NA	6.896587524	5.747708804	7.660268025	6.563549783	4.972660857	7.354644126	3.0486	0
B105	0	0	0	0	0	0	0	0	0	0	0	19985.88	5.339084229	NA	7.597260813	5.987782492	5.593637377	7.15830751	6.379690546	6.490248415	5.723265667	3.5364	19985.88
B109	0	0	0	0	0	0	0	0	0	0	0	9504.56	3.466771572	6.078678474	3.71038547	3.987782492	4.747708804	4.230171916	4.500998221	3.641606356	5.040613642	2.6934	9504.56
B14A	0	0	0	0	0	0	0	0	0	0	0	0	2.339084229	7.708106267	7.597260813	3.896587524	4.747708804	6.230171916	5.500998221	4.990248415	5.854644126	3.5262	0
B164	0	0	0	0	0	0	0	0	0	0	0	0	5.956022198	1.449250681	4.257886843	6.078977461	3.74457155	5.370849885	4.560327373	5.036174594	3.726583158	3.1699	0
B2	0	0	0	0	0	0	0	0	0	0	0	0	6.828334854	3.708106267	7.144762186	4.896587524	4.845199001	6.442714291	5.648461542	6.884816653	4.354644126	3.8015	0
B37	0	0	0	0	0	0	0	0	0	0	0	0	5.083709542	4.449250681	7.371011499	4.078977461	4.845199001	5.942714291	5.398461542	6.187532534	4.226583158	3.1643	0
B46	0	0	0	0	0	0	0	0	0	0	0	0	2.211396885	6.449250681	5.484136156	4.078977461	4.445826452	5.014578697	4.736595712	3.838890475	5.226583158	3.6157	0
B52	0	0	0	0	0	0	0	0	0	0	0	0	7.339084229	7.708106267	7.597260813	6.896587524	7.247708804	7.730171916	7.500998221	7.490248415	7.354644126	3.6363	0
B57	0	0	0	0	0	0	0	0	0	0	0	0	2.828334854	5.708106267	4.144762186	5.896587524	3.845199001	5.442714291	4.648461542	3.384816653	5.854644126	3.2105	0
B64	0	0	0	0	0	0	0	0	0	0	0	0	2.339084229	4.819822888	6.597260813	7.170172429	3.945826452	7.014578697	5.486595712	4.490248415	5.912552674	2.8959	0
B68	0	0	0	0	0	0	0	0	0	0	0	0	NA	6.449250681	7.257886843	7.078977461	6.499270427	7.370849885	6.882049345	6.553762151	6.726583158	3.5218	0
