Taxa	DTA	Rust	SLB	SLBtoxin	NLB	GLS
OH43E	91.5	2.75	6.879883334	NA	6.3327	5.0777
OH603	97	3.25	5.611760834	0.5	7.0372	5.8519
OH7B	97.75	3.875	5.260133334	0	3.1702	4.5806
OS420	79	3.25	5.590858334	0	5.5358	6.2534
P39	74.75	5.5	4.990508334	0.75	4.7905	4.7193
PA762	80.25	NA	6.983708334	1	6.7256	5.0733
PA875	87	NA	6.977983334	0	7.2061	6.6905
PA880	86	3.5	6.532458334	1.125	7.5405	6.0013
PA91	86	NA	5.971783334	0	6.46	5.1691
R109B	80	1.1229	5.888766667	NA	7.332	NA
R168	82.75	3.5	6.270008334	1	6.2332	5.2437
R177	78.5	4.75	6.881533334	2	7	5.835
R229	88	3.75	5.809783334	1.5	5.9853	5.0501
R4	85.5	3.375	6.299808334	1.375	5.3684	3.9398
SA24	90	3.625	5.997683334	2	6.2953	6.3928
SC213R	102	3.1642	6.619833334	0.625	6.282	6.0145
SC357	95.75	3.375	6.332883334	0	5.4957	6.6814
SC55	104	NA	6.733358334	NA	4.5485	6.9567
SD40	78.5	2.75	6.607483334	0	7.2965	6.2582
SD44	81.25	3.5	6.453770834	0	6.5963	4.9146
SG1533	90.5	2.875	6.100958334	2.125	5.8675	4.8347
SG18	91	2.625	6.245525834	2.75	5.5758	5.5829
T232	87	2.75	6.711083334	2.25	6.4342	6.7648
T234	93.5	3.25	6.217478334	1.875	6.0892	7.3433
T8	92.25	4.25	7.356308334	0	6.198	7.113
TX303	99.75	2.875	5.814633334	1.5	6.4949	5.6371
TX601	116.5	2.25	7.330483334	2	6.5825	7.3702
TZI10	113	1.75	6.699133334	2	5.8098	6.8559
TZI11	96	2.375	7.250558334	NA	6.7552	7.4115
TZI16	100.75	3.125	6.981958334	1.75	6.3645	7.1371
TZI18	103.75	3.75	7.024808334	2.75	6.1299	6.9147
TZI25	97.5	NA	7.116933334	2.5	7.5067	6.5276
TZI9	97.5	3.75	6.530408334	0	6.5383	6.6268
U267Y	100.25	1.875	4.894308334	2	7.149	6.1888
VA102	80.75	2.5	7.322158334	2.5	7.1744	5.8318
VA14	88	NA	6.393390834	2.75	6.5116	6.146
VA17	92	3.25	6.669083334	0	7.2797	5.6916
VA22	88.5	4.375	6.384158334	0	6.2741	5.1698
VA26	80.75	3.25	5.890845834	0.75	5.783	4.787
VA35	83.25	3.375	6.676308334	3.75	7.0838	6.706
VA59	78.75	NA	7.247133334	4	7.3437	6.2386
VA85	81.25	1.875	7.151458334	3.5	7.3337	7.1314
VA99	84.5	2.25	5.044108334	1.75	4.685	4.5494
VAW6	84.5	3.75	6.139853334	0.25	5.4754	6.2256
W117HT	71.75	2.75	5.039958334	1.25	4.2771	5.663
W153R	76.5	2.3729	6.204895834	NA	5.7671	7.4905
W182B	75.5	2.5	5.357483334	0	4.6209	5.4093
W22	82.5	3.5	5.416058334	1.75	4.7468	5.6766
W22_R	83	NA	6.044666667	NA	NA	NA
WD	71	2.6229	5.554783334	1	NA	4.4225
WF9	84.25	3.25	4.468558334	0.5	5.9098	4.3256
YU796	79	NA	6.515408334	2.625	6.3189	5.7809
